orthography:	图宾根pinyin:	túbīngēncategory:	PHONgloss:	[tubingen]
orthography:	周边pinyin:	zhōubiāncategory:	Ngloss:	[periphery]
orthography:	的pinyin:	decategory:	PRTgloss:	[(relativizer)]
orthography:	人类pinyin:	rénlèicategory:	Ngloss:	[humanity]
orthography:	活动pinyin:	huódòngcategory:	Ngloss:	[movement]
orthography:	至pinyin:	zhìcategory:	VTgloss:	[reach]
orthography:	迟pinyin:	chícategory:	EVgloss:	[slow]
orthography:	出现pinyin:	chūxiàncategory:	VIgloss:	[appear]
orthography:	于pinyin:	yúcategory:	PRPgloss:	[in]
orthography:	马格德林pinyin:	mǎgédélíncategory:	PHONgloss:	[magdelin]
orthography:	时期pinyin:	shíqīcategory:	Ngloss:	[period]
orthography:	。pinyin:	.category:	PNTgloss:	[.]
orthography:	文物pinyin:	wénwùcategory:	Ngloss:	[relic]
orthography:	工作pinyin:	gōngzuòcategory:	Ngloss:	[work]
orthography:	者pinyin:	zhěcategory:	NKgloss:	[-er]
orthography:	在pinyin:	zàicategory:	PRPgloss:	[in]
orthography:	1pinyin:	1category:	NUMgloss:	[1]
orthography:	9pinyin:	9category:	NUMgloss:	[9]
orthography:	8pinyin:	8category:	NUMgloss:	[8]
orthography:	5pinyin:	5category:	NUMgloss:	[5]
orthography:	年pinyin:	niáncategory:	Ngloss:	[year]
orthography:	发现pinyin:	fāxiàncategory:	Ngloss:	[discovery]
orthography:	了pinyin:	lecategory:	PRTgloss:	[(state_change)]
orthography:	青铜pinyin:	qīngtóngcategory:	Ngloss:	[bronze]
orthography:	时代pinyin:	shídàicategory:	Ngloss:	[epoch]
orthography:	的pinyin:	decategory:	PRTgloss:	[(relativizer)]
orthography:	遗迹pinyin:	yíjìcategory:	Ngloss:	[remnants]
orthography:	。pinyin:	.category:	PNTgloss:	[.]
orthography:	约pinyin:	yuēcategory:	ADVgloss:	[approximately]
orthography:	公元pinyin:	gōngyuáncategory:	Ngloss:	[common_era]
orthography:	8pinyin:	8category:	NUMgloss:	[8]
orthography:	5pinyin:	5category:	NUMgloss:	[5]
orthography:	年pinyin:	niáncategory:	Ngloss:	[year]
orthography:	，pinyin:	,category:	PNTgloss:	[,]
orthography:	罗马pinyin:	luómǎcategory:	PHONgloss:	[roma]
orthography:	人pinyin:	réncategory:	Ngloss:	[person]
orthography:	开始pinyin:	kāishǐcategory:	VTgloss:	[start]
orthography:	在pinyin:	zàicategory:	PRPgloss:	[in]
orthography:	图宾根pinyin:	túbīngēncategory:	PHONgloss:	[tubingen]
orthography:	修建pinyin:	xiūjiàncategory:	VTgloss:	[construct]
orthography:	沿pinyin:	yáncategory:	PRPgloss:	[following]
orthography:	内卡pinyin:	nèikǎcategory:	PHONgloss:	[neka]
orthography:	河pinyin:	hécategory:	Ngloss:	[river]
orthography:	的pinyin:	decategory:	PRTgloss:	[(relativizer)]
orthography:	长pinyin:	chángcategory:	Agloss:	[long]
orthography:	城pinyin:	chéngcategory:	Ngloss:	[city; wall]
orthography:	。pinyin:	.category:	PNTgloss:	[.]
orthography:	1pinyin:	1category:	NUMgloss:	[1]
orthography:	0pinyin:	0category:	NUMgloss:	[0]
orthography:	7pinyin:	7category:	NUMgloss:	[7]
orthography:	8pinyin:	8category:	NUMgloss:	[8]
orthography:	年pinyin:	niáncategory:	Ngloss:	[year]
orthography:	，pinyin:	,category:	PNTgloss:	[,]
orthography:	由于pinyin:	yóuyúcategory:	PRPgloss:	[thanks_to]
orthography:	神圣pinyin:	shénshèngcategory:	EVgloss:	[holy]
orthography:	罗马pinyin:	luómǎcategory:	PHONgloss:	[roma]
orthography:	皇帝pinyin:	huángdìcategory:	Ngloss:	[emperor]
orthography:	亨利pinyin:	hēnglìcategory:	PHONgloss:	[henli]
orthography:	四世pinyin:	sì_shìcategory:	NEgloss:	[IV]
orthography:	的pinyin:	decategory:	PRTgloss:	[(relativizer)]
orthography:	一次pinyin:	yīcìcategory:	ADVgloss:	[once]
orthography:	战pinyin:	zhàncategory:	NKgloss:	[war]
orthography:	事pinyin:	shìcategory:	Ngloss:	[matter]
orthography:	，pinyin:	,category:	PNTgloss:	[,]
orthography:	上pinyin:	shàngcategory:	ADVgloss:	[up]
orthography:	图宾根pinyin:	túbīngēncategory:	PHONgloss:	[tubingen]
orthography:	城堡pinyin:	chéngbǎocategory:	Ngloss:	[castle]
orthography:	第一pinyin:	dìyīcategory:	Agloss:	[first]
orthography:	次pinyin:	cìcategory:	Ngloss:	[time, occasion]
orthography:	出现pinyin:	chūxiàncategory:	VIgloss:	[appear]
orthography:	在pinyin:	zàicategory:	PRPgloss:	[in]
orthography:	史pinyin:	shǐcategory:	Ngloss:	[history]
orthography:	书pinyin:	shūcategory:	Ngloss:	[book]
orthography:	中pinyin:	zhōngcategory:	NKgloss:	[middle]
orthography:	。pinyin:	.category:	PNTgloss:	[.]
orthography:	到了pinyin:	dàolecategory:	PRPgloss:	[after_the_arrival_of]
orthography:	大pinyin:	dàcategory:	EVgloss:	[large]
orthography:	迁徙pinyin:	qiānxǐcategory:	VIgloss:	[migrate]
orthography:	时期pinyin:	shíqīcategory:	Ngloss:	[period]
orthography:	，pinyin:	,category:	PNTgloss:	[,]
orthography:	城市pinyin:	chéngshìcategory:	Ngloss:	[city]
orthography:	的pinyin:	decategory:	PRTgloss:	[(relativizer)]
orthography:	名字pinyin:	míngzicategory:	Ngloss:	[name]
orthography:	便pinyin:	biàncategory:	ADVgloss:	[then]
orthography:	已pinyin:	yǐcategory:	ADVgloss:	[already]
orthography:	确立pinyin:	quèlìcategory:	VTgloss:	[establish]
orthography:	。pinyin:	.category:	PNTgloss:	[.]
orthography:	1pinyin:	1category:	NUMgloss:	[1]
orthography:	1pinyin:	1category:	NUMgloss:	[1]
orthography:	9pinyin:	9category:	NUMgloss:	[9]
orthography:	1pinyin:	1category:	NUMgloss:	[1]
orthography:	年pinyin:	niáncategory:	Ngloss:	[year]
orthography:	，pinyin:	,category:	PNTgloss:	[,]
orthography:	商人pinyin:	shāngréncategory:	Ngloss:	[merchant]
orthography:	们pinyin:	mencategory:	SFXgloss:	[(plural)]
orthography:	开始pinyin:	kāishǐcategory:	VTgloss:	[start]
orthography:	将pinyin:	jiāngcategory:	PRPgloss:	[(object)]
orthography:	图宾根pinyin:	túbīngēncategory:	PHONgloss:	[tubingen]
orthography:	作为pinyin:	zuòwéicategory:	PRPgloss:	[regard]
orthography:	一pinyin:	yīcategory:	NUMgloss:	[one]
orthography:	处pinyin:	chǔcategory:	VTgloss:	[manage]
orthography:	活动pinyin:	huódòngcategory:	Ngloss:	[movement]
orthography:	的pinyin:	decategory:	PRTgloss:	[(relativizer)]
orthography:	据pinyin:	jùcategory:	PRPgloss:	[according_to]
orthography:	点pinyin:	diǎncategory:	Ngloss:	[point]
orthography:	。pinyin:	.category:	PNTgloss:	[.]
orthography:	在pinyin:	zàicategory:	PRPgloss:	[in]
orthography:	十一pinyin:	shíyīcategory:	NUMgloss:	[eleven]
orthography:	世纪pinyin:	shìjìcategory:	Ngloss:	[century]
orthography:	中叶pinyin:	zhōngyècategory:	Ngloss:	[middle_part]
orthography:	，pinyin:	,category:	PNTgloss:	[,]
orthography:	图宾根地pinyin:	túbīngēndìcategory:	PHONgloss:	[tubingent]
